date,region,latitude,longitude,operation_type,clima,umidade_solo,inclinacao,distancia_agua,velocidade,historico_sinistros,chuva_mm,solo_instavel,clima_code,operation_code,temperatura_c,umidade_ar,pressao_hpa,distancia_obstaculo,gps_accuracy_m,wind_speed_m_s,source,risk_score
20240104,Ribeirao Preto - SP,-21.1775,-47.8103,proximidade_agua,chuva,77.76,10.99,190.44,6.51,3.8,5.99,0,2.0,2.0,25.22,76.3,928.7,12.25,4.39,2.26,NASA POWER Daily API,67.56
20240105,Ribeirao Preto - SP,-21.1775,-47.8103,proximidade_agua,garoa,66.48,8.21,257.1,4.62,1.8,0.06,0,4.0,2.0,25.88,65.08,929.1,30.44,3.14,2.94,NASA POWER Daily API,44.43
20240106,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,63.96,5.3,71.39,25.35,1.8,0.02,0,4.0,1.0,27.33,59.73,929.3,19.59,3.52,2.05,NASA POWER Daily API,68.06
20240107,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,66.38,3.5,313.12,23.33,1.8,1.16,0,4.0,1.0,28.36,57.8,930.0,15.23,4.23,1.62,NASA POWER Daily API,59.82
20240108,Ribeirao Preto - SP,-21.1775,-47.8103,proximidade_agua,chuva,70.76,8.39,151.06,14.04,2.8,5.36,0,2.0,2.0,27.51,65.21,930.5,15.19,5.02,2.77,NASA POWER Daily API,69.26
20240109,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,69.59,8.36,153.66,11.3,1.8,1.13,0,4.0,0.0,26.96,64.41,931.5,16.8,4.69,3.15,NASA POWER Daily API,50.72
20240110,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,chuva,61.21,4.74,195.46,12.47,2.8,5.06,0,2.0,1.0,26.77,66.84,931.2,21.74,4.86,4.09,NASA POWER Daily API,56.27
20240111,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,58.29,10.46,316.71,7.99,2.8,1.43,0,4.0,0.0,26.94,68.47,931.1,9.29,4.28,3.48,NASA POWER Daily API,47.86
20240112,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,63.48,3.67,228.65,15.8,1.8,3.06,0,4.0,0.0,27.06,68.68,929.6,7.48,2.68,2.7,NASA POWER Daily API,51.55
20240113,Ribeirao Preto - SP,-21.1775,-47.8103,campo,chuva,100.0,7.03,182.63,6.94,1.8,17.82,1,2.0,0.0,26.03,75.48,931.0,2.49,6.27,2.33,NASA POWER Daily API,95.39
20240114,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,chuva,100.0,4.85,241.74,7.61,3.8,18.83,1,2.0,1.0,24.7,81.48,932.9,6.6,7.46,2.04,NASA POWER Daily API,93.06
20240115,Ribeirao Preto - SP,-21.1775,-47.8103,proximidade_agua,garoa,100.0,0.0,257.89,19.26,2.8,2.58,0,4.0,2.0,25.27,76.38,933.3,9.66,2.45,2.75,NASA POWER Daily API,68.41
20240116,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,99.78,5.74,137.09,9.5,1.8,0.38,0,4.0,0.0,27.3,66.66,932.6,8.15,3.64,2.52,NASA POWER Daily API,53.98
20240117,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,86.11,1.5,219.52,23.38,1.8,0.24,0,4.0,1.0,28.55,63.13,932.8,32.85,3.34,2.04,NASA POWER Daily API,62.63
20240118,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,93.82,8.67,388.29,3.78,1.8,2.42,0,4.0,0.0,28.54,63.48,931.7,24.57,2.23,1.67,NASA POWER Daily API,50.12
20240119,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,100.0,5.75,256.77,26.49,1.8,3.65,0,4.0,1.0,28.68,63.85,930.8,6.97,3.7,2.97,NASA POWER Daily API,78.53
20240120,Ribeirao Preto - SP,-21.1775,-47.8103,proximidade_agua,garoa,86.23,1.11,188.53,7.99,2.8,3.9,0,4.0,2.0,27.51,66.77,929.7,80.0,4.63,3.09,NASA POWER Daily API,52.87
20240121,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,66.87,6.27,332.34,19.18,1.8,4.66,0,4.0,1.0,26.24,70.78,930.6,1.36,2.03,3.21,NASA POWER Daily API,72.97
20240122,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,53.65,1.14,316.72,19.11,2.8,0.23,0,4.0,1.0,25.74,65.57,930.8,13.35,3.18,2.75,NASA POWER Daily API,49.46
20240123,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,chuva,85.8,6.63,190.03,20.65,2.8,10.34,1,2.0,1.0,24.62,72.86,929.3,3.4,15.47,2.86,NASA POWER Daily API,97.04
20240124,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,78.47,4.9,278.6,22.2,1.8,0.86,0,4.0,1.0,24.88,70.19,927.2,3.32,8.95,2.56,NASA POWER Daily API,63.42
20240125,Ribeirao Preto - SP,-21.1775,-47.8103,manutencao,garoa,65.98,4.67,212.95,5.63,1.8,0.09,0,4.0,3.0,23.99,65.19,927.6,37.56,2.85,3.66,NASA POWER Daily API,37.96
20240126,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,65.51,7.5,390.23,9.96,1.8,0.08,0,4.0,0.0,24.03,62.22,928.9,3.94,5.36,2.85,NASA POWER Daily API,46.1
20240127,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,53.59,6.54,205.11,10.22,1.8,0.23,0,4.0,0.0,24.79,58.06,930.0,14.75,2.6,3.03,NASA POWER Daily API,41.91
20240128,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,58.67,10.25,82.06,9.33,1.8,2.1,0,4.0,0.0,25.97,58.83,931.3,6.91,2.29,2.56,NASA POWER Daily API,50.28
20240129,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,54.57,11.63,188.48,16.77,1.8,4.04,0,4.0,0.0,26.44,55.44,931.6,2.78,7.37,3.02,NASA POWER Daily API,65.24
20240130,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,27.0,5.58,92.57,18.17,2.8,0.1,0,4.0,1.0,26.46,47.79,931.2,5.83,2.66,2.53,NASA POWER Daily API,44.8
20240131,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,48.21,5.73,124.8,10.25,2.8,2.82,0,4.0,0.0,26.24,52.56,931.9,26.91,4.58,1.9,NASA POWER Daily API,43.96
20240201,Ribeirao Preto - SP,-21.1775,-47.8103,campo,chuva,55.76,5.38,264.48,0.0,1.8,6.64,0,2.0,0.0,25.67,59.8,933.2,7.05,11.22,2.15,NASA POWER Daily API,38.93
20240202,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,48.82,9.47,187.7,7.85,1.8,0.68,0,4.0,0.0,25.1,66.9,934.4,6.09,11.54,2.85,NASA POWER Daily API,40.71
20240203,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,61.11,8.38,302.89,15.24,1.8,2.36,0,4.0,0.0,25.6,68.55,934.3,13.17,5.43,2.65,NASA POWER Daily API,54.09
20240204,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,69.02,5.61,356.33,25.74,1.8,4.67,0,4.0,1.0,23.87,76.22,934.3,4.8,11.08,1.16,NASA POWER Daily API,68.88
20240205,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,64.83,4.47,238.19,11.63,1.8,2.24,0,4.0,0.0,24.57,73.53,933.5,8.35,5.73,1.52,NASA POWER Daily API,46.53
20240206,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,67.32,9.62,292.44,17.65,1.8,0.92,0,4.0,1.0,25.2,72.42,934.0,7.96,2.51,1.62,NASA POWER Daily API,58.92
20240207,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,71.87,13.8,333.87,21.62,1.8,4.8,0,4.0,1.0,24.39,76.18,932.6,8.63,2.85,1.59,NASA POWER Daily API,73.42
20240208,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,56.12,5.35,31.03,9.26,1.8,2.4,0,4.0,0.0,25.39,71.89,931.2,6.02,3.44,1.85,NASA POWER Daily API,59.89
20240209,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,62.04,7.62,162.37,18.69,1.8,0.03,0,4.0,1.0,26.68,62.84,931.6,3.56,3.24,3.59,NASA POWER Daily API,55.86
20240210,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,sol,46.92,2.0,206.33,19.53,2.8,0.0,0,0.0,1.0,26.44,61.13,933.2,16.85,6.35,4.76,NASA POWER Daily API,48.48
20240211,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,48.57,10.14,448.01,15.39,1.8,0.14,0,4.0,0.0,27.14,61.56,933.8,18.64,3.64,4.28,NASA POWER Daily API,50.29
20240212,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,38.8,6.77,154.59,8.77,2.8,1.19,0,4.0,0.0,27.52,62.41,935.0,1.18,2.22,3.09,NASA POWER Daily API,50.61
20240213,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,44.36,6.83,228.61,16.34,1.8,3.81,0,4.0,0.0,27.78,61.86,934.7,20.46,6.92,2.13,NASA POWER Daily API,50.16
20240214,Ribeirao Preto - SP,-21.1775,-47.8103,proximidade_agua,chuva,66.16,8.44,241.97,12.75,1.8,8.11,0,2.0,2.0,26.01,68.22,933.8,5.61,4.19,2.49,NASA POWER Daily API,66.56
20240215,Ribeirao Preto - SP,-21.1775,-47.8103,campo,chuva,76.9,0.86,329.95,6.02,1.8,5.92,0,2.0,0.0,24.01,80.13,933.6,5.91,4.16,2.18,NASA POWER Daily API,47.34
20240216,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,chuva,82.82,7.67,299.59,16.18,1.8,7.21,1,2.0,1.0,25.36,75.78,932.0,7.18,12.53,1.72,NASA POWER Daily API,86.3
20240217,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,71.57,5.52,117.73,17.54,1.8,2.48,0,4.0,1.0,26.14,69.69,930.0,3.96,5.13,2.41,NASA POWER Daily API,57.52
20240218,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,72.88,4.05,195.91,11.86,1.8,0.88,0,4.0,0.0,25.83,65.11,928.8,11.46,3.86,2.68,NASA POWER Daily API,47.83
20240219,Ribeirao Preto - SP,-21.1775,-47.8103,proximidade_agua,chuva,100.0,9.24,124.06,5.05,3.8,10.67,1,2.0,2.0,25.08,67.87,927.7,30.36,2.63,2.29,NASA POWER Daily API,91.08
20240220,Ribeirao Preto - SP,-21.1775,-47.8103,campo,chuva,97.76,7.37,60.42,4.1,1.8,5.74,1,2.0,0.0,25.38,69.33,925.8,1.16,3.87,2.49,NASA POWER Daily API,95.28
20240221,Ribeirao Preto - SP,-21.1775,-47.8103,campo,chuva,100.0,5.05,178.91,14.26,1.8,12.81,1,2.0,0.0,24.98,74.91,926.2,4.0,5.06,2.8,NASA POWER Daily API,92.03
20240222,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,100.0,8.02,313.24,9.0,2.8,2.14,0,4.0,0.0,25.98,71.18,928.4,6.45,2.85,2.65,NASA POWER Daily API,59.94
20240223,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,98.26,4.52,264.55,12.57,1.8,3.62,0,4.0,0.0,26.09,73.76,932.1,2.06,4.57,2.28,NASA POWER Daily API,65.2
20240224,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,96.89,3.49,5.0,6.79,1.8,2.87,0,4.0,0.0,25.87,73.84,935.2,7.85,12.5,1.89,NASA POWER Daily API,75.05
20240225,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,87.92,5.4,303.86,9.3,3.8,0.4,0,4.0,0.0,27.21,66.3,935.1,72.94,6.15,2.6,NASA POWER Daily API,53.96
20240226,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,73.79,7.13,188.69,16.49,1.8,0.89,0,4.0,1.0,27.11,69.97,933.3,10.2,4.07,3.19,NASA POWER Daily API,56.82
20240227,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,54.69,5.75,194.6,17.55,1.8,0.03,0,4.0,1.0,28.24,62.06,931.4,15.04,7.29,2.3,NASA POWER Daily API,50.28
20240228,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,38.77,3.69,121.27,16.32,1.8,0.07,0,4.0,1.0,29.09,58.03,930.9,3.5,5.22,2.19,NASA POWER Daily API,41.88
20240229,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,31.8,8.12,169.67,8.18,1.8,0.48,0,4.0,0.0,29.09,63.56,931.3,11.04,10.55,2.91,NASA POWER Daily API,34.63
20240301,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,45.06,8.93,56.11,20.36,1.8,4.12,0,4.0,0.0,27.84,67.84,931.2,0.56,4.69,3.54,NASA POWER Daily API,80.31
20240302,Ribeirao Preto - SP,-21.1775,-47.8103,manutencao,garoa,39.15,4.16,279.0,7.39,3.8,0.88,0,4.0,3.0,26.97,69.03,930.6,2.4,2.0,2.47,NASA POWER Daily API,42.41
20240303,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,32.74,5.06,176.19,14.44,3.8,0.25,0,4.0,0.0,27.43,60.24,930.1,1.98,3.98,2.12,NASA POWER Daily API,49.69
20240304,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,27.56,8.12,117.66,18.63,1.8,0.74,0,4.0,0.0,28.02,60.21,930.3,5.84,6.31,2.65,NASA POWER Daily API,46.73
20240305,Ribeirao Preto - SP,-21.1775,-47.8103,campo,chuva,53.5,3.91,117.58,10.08,1.8,5.12,0,2.0,0.0,27.21,65.34,931.5,5.43,8.35,3.59,NASA POWER Daily API,47.98
20240306,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,chuva,80.77,1.26,347.31,13.25,1.8,9.77,1,2.0,1.0,26.2,70.73,932.3,4.64,4.1,2.04,NASA POWER Daily API,77.71
20240307,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,81.73,9.31,175.59,19.24,4.8,4.89,0,4.0,1.0,27.03,70.57,933.6,9.37,1.73,2.19,NASA POWER Daily API,75.16
20240308,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,77.5,9.09,160.26,12.44,1.8,2.29,0,4.0,1.0,26.93,72.95,933.3,0.82,9.12,2.05,NASA POWER Daily API,68.26
20240309,Ribeirao Preto - SP,-21.1775,-47.8103,campo,chuva,100.0,0.0,288.04,10.31,2.8,10.33,1,2.0,0.0,27.23,71.04,931.8,13.01,7.18,2.74,NASA POWER Daily API,81.2
20240310,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,88.41,3.6,124.67,12.79,1.8,0.46,0,4.0,1.0,26.6,73.46,931.5,3.53,11.18,2.25,NASA POWER Daily API,52.59
20240311,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,80.24,7.18,238.04,17.52,1.8,0.82,0,4.0,1.0,26.88,66.39,932.2,7.28,4.04,2.73,NASA POWER Daily API,60.11
20240312,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,74.08,2.95,260.99,11.59,2.8,0.99,0,4.0,0.0,27.72,66.81,932.4,2.34,12.86,2.42,NASA POWER Daily API,54.7
20240313,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,67.91,4.26,184.47,24.98,2.8,1.97,0,4.0,1.0,28.39,66.44,932.1,43.76,4.82,1.74,NASA POWER Daily API,65.92
20240314,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,46.72,7.16,386.04,19.1,2.8,0.25,0,4.0,1.0,28.69,64.17,932.0,20.66,3.24,2.04,NASA POWER Daily API,53.63
20240315,Ribeirao Preto - SP,-21.1775,-47.8103,proximidade_agua,garoa,41.46,10.48,308.17,7.86,2.8,0.01,0,4.0,2.0,28.2,58.66,930.5,5.22,2.7,2.26,NASA POWER Daily API,45.36
20240316,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,32.89,0.85,157.06,15.21,1.8,1.2,0,4.0,0.0,28.62,62.25,929.6,10.36,3.33,2.4,NASA POWER Daily API,36.91
20240317,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,35.46,11.65,180.38,13.56,1.8,1.41,0,4.0,0.0,28.64,62.66,930.8,31.32,3.81,2.64,NASA POWER Daily API,47.07
20240318,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,44.56,7.46,267.04,16.56,4.8,3.4,0,4.0,1.0,28.67,65.8,930.7,10.3,3.84,1.68,NASA POWER Daily API,57.5
20240319,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,chuva,50.58,6.29,213.76,15.79,1.8,6.49,0,2.0,1.0,28.88,64.18,929.8,8.39,3.53,1.92,NASA POWER Daily API,58.17
20240320,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,52.59,13.01,300.03,12.93,3.8,2.52,0,4.0,0.0,26.54,75.1,928.8,5.06,2.32,1.75,NASA POWER Daily API,58.35
20240321,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,64.39,8.45,113.25,13.36,1.8,3.66,0,4.0,0.0,26.58,73.61,930.0,10.28,3.72,3.84,NASA POWER Daily API,54.34
20240322,Ribeirao Preto - SP,-21.1775,-47.8103,manutencao,chuva,81.9,11.18,142.82,10.51,1.8,6.94,1,2.0,3.0,23.75,85.99,931.5,5.41,7.01,4.18,NASA POWER Daily API,82.62
20240323,Ribeirao Preto - SP,-21.1775,-47.8103,campo,chuva,79.72,0.0,318.16,16.49,1.8,8.69,1,2.0,0.0,22.72,79.66,933.2,5.55,13.99,4.44,NASA POWER Daily API,79.03
20240324,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,83.28,4.16,210.97,7.15,1.8,2.65,0,4.0,0.0,22.31,80.91,932.9,62.02,6.44,3.12,NASA POWER Daily API,46.57
20240325,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,chuva,89.73,10.45,216.49,16.99,2.8,5.94,1,2.0,1.0,23.92,79.48,930.8,8.5,2.24,2.87,NASA POWER Daily API,93.34
20240326,Ribeirao Preto - SP,-21.1775,-47.8103,manutencao,chuva,100.0,9.21,192.9,5.78,2.8,13.41,1,2.0,3.0,21.72,89.16,932.4,3.22,3.79,2.68,NASA POWER Daily API,89.0
20240327,Ribeirao Preto - SP,-21.1775,-47.8103,campo,chuva,100.0,0.04,190.38,13.08,2.8,20.78,1,2.0,0.0,20.68,89.47,934.2,8.62,4.62,2.34,NASA POWER Daily API,95.44
20240328,Ribeirao Preto - SP,-21.1775,-47.8103,campo,chuva,100.0,8.68,120.65,8.4,2.8,15.94,1,2.0,0.0,21.91,83.9,935.2,6.77,3.1,2.06,NASA POWER Daily API,93.01
20240329,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,100.0,1.65,122.15,5.04,2.8,3.23,0,4.0,0.0,22.81,85.46,934.9,3.68,6.4,2.04,NASA POWER Daily API,48.98
20240330,Ribeirao Preto - SP,-21.1775,-47.8103,proximidade_agua,chuva,100.0,2.22,213.33,6.91,2.8,11.04,1,2.0,2.0,23.59,84.13,933.3,4.21,7.22,1.9,NASA POWER Daily API,83.85
20240331,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,100.0,2.8,189.86,10.1,1.8,0.21,0,4.0,0.0,24.4,75.58,932.4,2.14,10.72,1.46,NASA POWER Daily API,57.57
20240401,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,100.0,8.85,207.43,7.59,1.8,0.06,0,4.0,0.0,24.25,68.51,931.5,5.94,3.27,1.87,NASA POWER Daily API,54.7
20240402,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,100.0,8.1,219.82,19.79,1.8,0.51,0,4.0,1.0,24.91,71.96,930.9,4.87,3.32,1.06,NASA POWER Daily API,69.63
20240403,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,81.36,5.21,139.39,9.78,2.8,0.95,0,4.0,1.0,25.08,75.98,931.2,8.41,9.58,1.95,NASA POWER Daily API,51.04
20240404,Ribeirao Preto - SP,-21.1775,-47.8103,proximidade_agua,garoa,63.15,9.92,275.18,15.55,2.8,1.2,0,4.0,2.0,25.57,75.13,932.4,14.46,4.42,2.36,NASA POWER Daily API,61.89
20240405,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,57.04,7.49,148.77,10.87,1.8,2.27,0,4.0,0.0,25.52,74.77,932.6,37.98,4.39,2.09,NASA POWER Daily API,46.51
20240406,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,50.55,6.46,332.77,6.16,2.8,2.09,0,4.0,0.0,25.4,71.37,932.1,9.01,10.85,1.71,NASA POWER Daily API,39.61
20240407,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,41.9,10.12,51.3,21.45,2.8,0.61,0,4.0,1.0,23.9,73.45,933.3,1.64,12.0,3.86,NASA POWER Daily API,76.09
20240408,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,39.02,1.59,117.53,13.78,3.8,0.27,0,4.0,0.0,24.61,68.45,932.8,2.33,3.71,2.94,NASA POWER Daily API,46.93
20240409,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,40.66,5.61,269.18,16.83,2.8,0.33,0,4.0,0.0,24.91,70.87,932.2,7.94,6.42,2.71,NASA POWER Daily API,47.41
20240410,Ribeirao Preto - SP,-21.1775,-47.8103,manutencao,garoa,38.26,3.2,192.34,4.41,2.8,1.37,0,4.0,3.0,24.99,68.56,931.0,1.65,4.12,1.44,NASA POWER Daily API,35.7
20240411,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,39.43,3.56,175.91,9.89,1.8,2.8,0,4.0,0.0,25.26,68.93,931.8,3.94,11.17,1.69,NASA POWER Daily API,36.43
20240412,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,43.01,5.8,220.54,24.27,2.8,1.64,0,4.0,1.0,24.6,74.68,933.2,1.78,5.07,3.97,NASA POWER Daily API,64.78
20240413,Ribeirao Preto - SP,-21.1775,-47.8103,manutencao,garoa,47.79,6.13,187.71,10.25,1.8,0.22,0,4.0,3.0,24.72,71.21,933.3,36.46,5.17,3.85,NASA POWER Daily API,39.53
20240414,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,41.14,1.62,257.31,15.23,2.8,0.68,0,4.0,1.0,23.68,74.9,932.7,8.34,9.32,2.95,NASA POWER Daily API,41.66
20240415,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,51.76,4.14,221.99,14.52,1.8,0.4,0,4.0,0.0,24.61,70.86,932.8,9.58,8.57,3.74,NASA POWER Daily API,44.18
20240416,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,48.33,7.17,376.99,16.02,1.8,0.26,0,4.0,0.0,25.0,66.33,933.8,80.0,3.61,3.32,NASA POWER Daily API,48.0
20240417,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,50.01,8.9,151.48,14.26,1.8,4.61,0,4.0,0.0,25.24,69.18,932.6,33.12,6.3,2.68,NASA POWER Daily API,52.34
20240418,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,37.94,5.23,244.9,12.82,1.8,1.58,0,4.0,0.0,23.93,77.88,932.3,5.22,5.09,3.04,NASA POWER Daily API,40.21
20240419,Ribeirao Preto - SP,-21.1775,-47.8103,proximidade_agua,garoa,30.11,7.39,181.62,3.89,3.8,0.01,0,4.0,2.0,23.4,70.16,933.0,6.5,8.02,2.73,NASA POWER Daily API,35.72
20240420,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,40.55,3.28,156.01,15.75,1.8,0.18,0,4.0,0.0,23.87,68.68,934.2,2.73,1.96,2.44,NASA POWER Daily API,47.14
20240421,Ribeirao Preto - SP,-21.1775,-47.8103,proximidade_agua,garoa,32.71,6.56,315.38,2.11,2.8,0.03,0,4.0,2.0,22.62,58.23,934.1,10.6,9.79,2.85,NASA POWER Daily API,31.2
20240422,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,36.07,8.8,194.16,18.38,4.8,0.01,0,4.0,1.0,22.79,54.42,933.1,2.91,8.54,2.38,NASA POWER Daily API,61.25
20240423,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,33.89,0.72,200.25,12.87,3.8,0.03,0,4.0,0.0,24.01,54.6,933.0,13.16,5.43,2.09,NASA POWER Daily API,37.1
20240424,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,29.16,5.32,253.9,10.23,1.8,0.1,0,4.0,0.0,24.61,57.86,933.1,3.55,3.68,2.18,NASA POWER Daily API,32.97
20240425,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,26.66,4.89,174.02,10.41,1.8,0.07,0,4.0,0.0,25.28,59.98,932.9,3.55,3.64,2.52,NASA POWER Daily API,31.98
20240426,Ribeirao Preto - SP,-21.1775,-47.8103,proximidade_agua,garoa,29.3,1.08,281.63,3.9,1.8,0.02,0,4.0,2.0,25.36,63.07,932.8,6.05,3.89,3.75,NASA POWER Daily API,24.59
20240427,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,sol,29.43,8.61,246.97,17.0,1.8,0.0,0,0.0,1.0,25.23,62.38,932.2,23.31,5.33,3.24,NASA POWER Daily API,44.94
20240428,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,28.51,6.18,231.38,12.62,1.8,0.01,0,4.0,0.0,25.5,56.84,932.0,6.78,5.59,2.4,NASA POWER Daily API,36.66
20240429,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,26.09,5.57,275.76,14.98,1.8,0.01,0,4.0,0.0,24.69,57.2,932.9,2.02,13.26,3.26,NASA POWER Daily API,44.18
20240430,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,22.0,4.4,168.49,18.94,1.8,0.03,0,4.0,0.0,25.46,52.4,932.9,11.27,4.67,2.26,NASA POWER Daily API,40.69
20240501,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,garoa,23.24,4.89,238.74,17.01,3.8,0.06,0,4.0,1.0,25.43,53.57,932.0,4.1,7.32,2.58,NASA POWER Daily API,43.56
20240502,Ribeirao Preto - SP,-21.1775,-47.8103,campo,sol,20.12,3.81,118.88,16.57,2.8,0.0,0,0.0,0.0,25.36,54.23,930.4,24.35,3.62,3.06,NASA POWER Daily API,38.84
20240503,Ribeirao Preto - SP,-21.1775,-47.8103,campo,garoa,16.92,8.17,281.97,15.32,1.8,0.01,0,4.0,0.0,25.37,51.86,931.4,7.92,3.71,1.73,NASA POWER Daily API,38.69
20240504,Ribeirao Preto - SP,-21.1775,-47.8103,campo,sol,25.76,7.95,151.07,12.18,1.8,0.0,0,0.0,0.0,25.19,45.53,933.8,2.53,5.46,3.66,NASA POWER Daily API,43.0
20240505,Ribeirao Preto - SP,-21.1775,-47.8103,campo,sol,14.35,0.77,77.08,10.33,1.8,0.0,0,0.0,0.0,24.58,45.1,935.1,3.22,7.08,4.0,NASA POWER Daily API,27.52
20240506,Ribeirao Preto - SP,-21.1775,-47.8103,campo,sol,24.66,4.91,143.1,12.51,2.8,0.0,0,0.0,0.0,24.46,51.47,933.7,3.03,8.21,4.31,NASA POWER Daily API,36.05
20240507,Ribeirao Preto - SP,-21.1775,-47.8103,transporte,sol,26.94,1.91,152.39,20.71,2.8,0.0,0,0.0,1.0,25.5,51.24,932.7,7.69,13.61,3.81,NASA POWER Daily API,43.91
20240508,Ribeirao Preto - SP,-21.1775,-47.8103,campo,sol,26.69,2.49,245.72,1.46,2.8,0.0,0,0.0,0.0,25.18,50.44,933.7,2.12,6.26,3.34,NASA POWER Daily API,26.31
